code,date,ri
A005930,199505,-8.3
A015760,199505,2.16
A005380,199505,-3.01
A090430,199505,0
A012330,199505,-2.07
A028260,199505,0
A035420,199505,0
A032830,199505,0
A000660,199505,0
A000270,199505,5.98
A055550,199505,0
A051910,199505,0
A005490,199505,-5.32
A033780,199505,0
A017670,199505,-0.22
A034730,199505,0
A051900,199505,0
A018260,199505,0
A096770,199505,0
A000810,199505,-3
A105560,199505,0
A002790,199505,-6.42
A003550,199505,-11.54
A011170,199505,-10.04
A010950,199505,2
A034220,199505,0
A035250,199505,0
A010130,199505,1.09
A066570,199505,0
A008930,199505,5.68
A030200,199505,0
A021240,199505,0
A009540,199505,0
A023530,199505,0
A006400,199505,-4.25
A086790,199505,0
A086280,199505,0
A000030,199505,-3.04
A004020,199505,-7.25
A001040,199505,-14.18
A024110,199505,0
A161390,199505,0
A047810,199505,0
A018880,199505,0
A001800,199505,-4.21
A128940,199505,0
A088350,199505,0
A027410,199505,0
A097950,199505,0
A139480,199505,0
A036570,199505,0
A005830,199505,13.57
A032640,199505,0
A000120,199505,6.87
A078930,199505,0
A029780,199505,0
A007070,199505,0
A002380,199505,-12.21
A009240,199505,0
A004800,199505,-10.22
A009830,199505,-7.78
A012750,199505,0
A000720,199505,-6.18
A009150,199505,-6.2
A036460,199505,0
A004990,199505,0
A051600,199505,0
A000100,199505,0
A012630,199505,0
A069960,199505,0
A007310,199505,-8.75
A000880,199505,-9.67
A001450,199505,12.06
A138930,199505,0
A037620,199505,0
A000210,199505,3.43
A003520,199505,-9.56
A016360,199505,-1.75
A006800,199505,3.24
A047050,199505,0
A008770,199505,13.4
A005940,199505,5.52
A034020,199505,0
A010060,199505,-7.07
A005300,199505,5.15
A047040,199505,0
A011210,199505,0
A004370,199505,-12.33
A079160,199505,0
A012450,199505,-7.73
A071050,199505,0
A004170,199505,-14.66
A001440,199505,1.7
A000240,199505,-10.84
A006360,199505,10.61
A010140,199505,-7.73
A003490,199505,-3.82
A028050,199505,0
A006280,199505,-4.69
A079550,199505,0
A000150,199505,17.86
A011780,199505,-1.63
A011070,199505,0
A111770,199505,0
A161890,199505,0
A002550,199505,7.07
A005610,199505,-11.97
A005440,199505,-5.97
A006120,199505,-5.14
A028670,199505,0
A204320,199505,0
A000670,199505,5.71
A030000,199505,0
