date,code,div
19950531,A005930,0.71
19950531,A015760,1.62
19950531,A005380,1.71
19950531,A090430,0
19950531,A012330,3.27
19950531,A028260,0
19950531,A035420,0
19950531,A032830,0
19950531,A000660,0
19950531,A000270,0
19950531,A055550,0
19950531,A051910,0
19950531,A005490,1.87
19950531,A033780,0
19950531,A017670,0.21
19950531,A034730,0
19950531,A051900,0
19950531,A018260,0
19950531,A096770,0
19950531,A000810,0.21
19950531,A105560,0
19950531,A002790,2.21
19950531,A003550,3.38
19950531,A011170,5.14
19950531,A010950,6.82
19950531,A034220,0
19950531,A035250,0
19950531,A010130,2.63
19950531,A066570,0
19950531,A008930,0.3
19950531,A030200,0
19950531,A021240,0
19950531,A009540,0
19950531,A023530,0
19950531,A006400,0.36
19950531,A086790,0
19950531,A086280,0
19950531,A000030,1.94
19950531,A004020,2.04
19950531,A001040,0.19
19950531,A024110,0
19950531,A161390,0
19950531,A047810,0
19950531,A018880,0
19950531,A001800,2.5
19950531,A128940,0
19950531,A088350,0
19950531,A027410,0
19950531,A097950,0
19950531,A139480,0
19950531,A036570,0
19950531,A005830,0
19950531,A032640,0
19950531,A000120,2.21
19950531,A078930,0
19950531,A029780,0
19950531,A007070,0
19950531,A002380,1.73
19950531,A009240,0
19950531,A004800,2.05
19950531,A009830,0.84
19950531,A012750,0
19950531,A000720,0
19950531,A009150,0.64
19950531,A036460,0
19950531,A004990,0.67
19950531,A051600,0
19950531,A000100,1.1
19950531,A012630,0
19950531,A069960,0
19950531,A007310,2.21
19950531,A000880,0
19950531,A001450,1.02
19950531,A138930,0
19950531,A037620,0
19950531,A000210,0.75
19950531,A003520,0.54
19950531,A016360,0.38
19950531,A006800,0
19950531,A047050,0
19950531,A008770,2.5
19950531,A005940,0
19950531,A034020,0
19950531,A010060,2.05
19950531,A005300,0.42
19950531,A047040,0
19950531,A011210,0
19950531,A004370,2.66
19950531,A079160,0
19950531,A012450,1.78
19950531,A071050,0
19950531,A004170,0.15
19950531,A001440,2.86
19950531,A000240,1.52
19950531,A006360,2.65
19950531,A010140,2.51
19950531,A003490,1.84
19950531,A028050,0
19950531,A006280,2.05
19950531,A079550,0
19950531,A000150,0
19950531,A011780,5.49
19950531,A011070,0
19950531,A111770,0
19950531,A161890,0
19950531,A002550,0.72
19950531,A005610,0
19950531,A005440,2.5
19950531,A006120,2.15
19950531,A028670,0
19950531,A204320,0
19950531,A000670,0.77
19950531,A030000,0
19950531,A000080,2.88
19950531,A114090,0
19950531,A120110,0
19950531,A105630,0
19950531,A214320,0
19950531,A014820,1.49
19950531,A006260,2.58
19950531,A000060,2.07
19950531,A057050,0
19950531,A192400,0
19950531,A008560,0
19950531,A138040,0
19950531,A005250,0.73
19950531,A039490,0
19950531,A003690,0.94
19950531,A003450,0
19950531,A226320,0
