date,code,ri
19950531,A005930,-8.3
19950531,A015760,2.16
19950531,A005380,-3.01
19950531,A090430,0
19950531,A012330,-2.07
19950531,A028260,0
19950531,A035420,0
19950531,A032830,0
19950531,A000660,0
19950531,A000270,5.98
19950531,A055550,0
19950531,A051910,0
19950531,A005490,-5.32
19950531,A033780,0
19950531,A017670,-0.22
19950531,A034730,0
19950531,A051900,0
19950531,A018260,0
19950531,A096770,0
19950531,A000810,-3
19950531,A105560,0
19950531,A002790,-6.42
19950531,A003550,-11.54
19950531,A011170,-10.04
19950531,A010950,2
19950531,A034220,0
19950531,A035250,0
19950531,A010130,1.09
19950531,A066570,0
19950531,A008930,5.68
19950531,A030200,0
19950531,A021240,0
19950531,A009540,0
19950531,A023530,0
19950531,A006400,-4.25
19950531,A086790,0
19950531,A086280,0
19950531,A000030,-3.04
19950531,A004020,-7.25
19950531,A001040,-14.18
19950531,A024110,0
19950531,A161390,0
19950531,A047810,0
19950531,A018880,0
19950531,A001800,-4.21
19950531,A128940,0
19950531,A088350,0
19950531,A027410,0
19950531,A097950,0
19950531,A139480,0
19950531,A036570,0
19950531,A005830,13.57
19950531,A032640,0
19950531,A000120,6.87
19950531,A078930,0
19950531,A029780,0
19950531,A007070,0
19950531,A002380,-12.21
19950531,A009240,0
19950531,A004800,-10.22
19950531,A009830,-7.78
19950531,A012750,0
19950531,A000720,-6.18
19950531,A009150,-6.2
19950531,A036460,0
19950531,A004990,0
19950531,A051600,0
19950531,A000100,0
19950531,A012630,0
19950531,A069960,0
19950531,A007310,-8.75
19950531,A000880,-9.67
19950531,A001450,12.06
19950531,A138930,0
19950531,A037620,0
19950531,A000210,3.43
19950531,A003520,-9.56
19950531,A016360,-1.75
19950531,A006800,3.24
19950531,A047050,0
19950531,A008770,13.4
19950531,A005940,5.52
19950531,A034020,0
19950531,A010060,-7.07
19950531,A005300,5.15
19950531,A047040,0
19950531,A011210,0
19950531,A004370,-12.33
19950531,A079160,0
19950531,A012450,-7.73
19950531,A071050,0
19950531,A004170,-14.66
19950531,A001440,1.7
19950531,A000240,-10.84
19950531,A006360,10.61
19950531,A010140,-7.73
19950531,A003490,-3.82
19950531,A028050,0
19950531,A006280,-4.69
19950531,A079550,0
19950531,A000150,17.86
19950531,A011780,-1.63
19950531,A011070,0
19950531,A111770,0
19950531,A161890,0
19950531,A002550,7.07
19950531,A005610,-11.97
19950531,A005440,-5.97
19950531,A006120,-5.14
19950531,A028670,0
19950531,A204320,0
19950531,A000670,5.71
19950531,A030000,0
19950531,A000080,0.98
19950531,A114090,0
19950531,A120110,0
19950531,A105630,0
19950531,A214320,0
19950531,A014820,-13.93
19950531,A006260,8.15
19950531,A000060,8.38
19950531,A057050,0
19950531,A192400,0
19950531,A008560,10
19950531,A138040,0
19950531,A005250,2.77
19950531,A039490,0
19950531,A003690,-6.74
19950531,A003450,2.05
19950531,A226320,0
19950531,A002620,-3.06
19950531,A001740,11.51
19950531,A006650,0
19950531,A010120,6.52
19950531,A139130,0
19950531,A001120,0
19950531,A064350,0
19950531,A192820,0
19950531,A017800,0
19950531,A003410,3.94
19950531,A002350,11.46
19950531,A000070,-10.41
19950531,A010620,-8.5
19950531,A002270,4.1
19950531,A010780,13.3
19950531,A042670,0
19950531,A042660,0
19950531,A108670,0
19950531,A071840,0
19950531,A073240,0
19950531,A181710,0
19950531,A082640,0
19950531,A003000,-9.23
19950531,A068870,0
19950531,A170900,0
19950531,A023590,0
19950531,A052690,0
19950531,A049770,0
19950531,A039130,0
19950531,A185750,0
19950531,A145990,0
19950531,A081660,0
19950531,A001680,-10.29
19950531,A180640,0
19950531,A003240,-9.02
19950531,A069620,0
19950531,A011790,0
19950531,A020000,0
19950531,A006040,3.95
19950531,A001060,7.76
19950531,A003620,9.18
19950531,A025540,0
19950531,A064960,0
19950531,A000640,-6.81
19950531,A007570,-3.77
19950531,A037560,0
19950531,A008000,-2.94
19950531,A001430,0
19950531,A101530,0
19950531,A004000,-8.51
19950531,A014680,-1.66
19950531,A020560,0
19950531,A024720,0
19950531,A089590,0
19950531,A009420,8.57
19950531,A034310,0
19950531,A000990,22.65
19950531,A175330,0
19950531,A009970,7.26
19950531,A033920,0
19950531,A103140,0
19950531,A071320,0
19950531,A006840,0
19950531,A115390,0
19950531,A001230,3.09
19950531,A069260,0
19950531,A001520,7.59
19950531,A019680,0
19950531,A005740,-2.86
19950531,A002240,-3.7
19950531,A096760,0
19950531,A016450,0
19950531,A000370,6.63
19950531,A018670,0
19950531,A072710,0
19950531,A012510,0
19950531,A053210,0
19950531,A000230,-2.78
19950531,A017810,0
19950531,A003300,3.73
19950531,A005180,-3.69
19950531,A007340,-5.6
19950531,A093050,0
19950531,A085620,0
19950531,A003090,-8.63
19950531,A002020,4.59
19950531,A003470,2.91
19950531,A009450,-1.08
19950531,A020150,0
19950531,A002960,-2.5
19950531,A210980,0
19950531,A060980,0
19950531,A138250,0
19950531,A044820,0
19950531,A019170,0.84
19950531,A004490,-3.17
19950531,A093370,0
19950531,A003540,1.65
19950531,A009290,-3.55
19950531,A008490,-6.47
19950531,A031440,0
19950531,A078520,0
19950531,A003060,-12.61
19950531,A029460,0
19950531,A007210,-0.73
19950531,A003920,-10.85
19950531,A005850,7.25
19950531,A036580,0
19950531,A034120,0
19950531,A031430,0
19950531,A084690,0
19950531,A058650,0
19950531,A025860,0
19950531,A003850,-3.59
19950531,A001720,7.95
19950531,A021960,0
19950531,A117930,0
19950531,A009410,-0.22
