code,equity
A005930,1.24E+11
A015760,53529023517
A005380,47243812310
A012330,16558139172
A090430,2309171844
A035420,1603280455
A028260,5834408966
A032830,18188359069
A000660,11767447219
A000270,16042423448
A055550,27690747690
A051910,10014035621
A005490,40914549835
A033780,5091148820
A017670,13528985998
A034730,11657640564
A051900,1277499414
A096770,14176376837
A018260,3232258952
A000810,7695760764
A105560,23731499552
A002790,3595142875
A003550,11830159241
A011170,5870595987
A010950,4904346377
A034220,10907567690
A010130,3776298532
A035250,2378892040
A066570,12896686069
A008930,431161610
A030200,12051022828
A009540,16108050378
A021240,896310036.3
A006400,7869884435
A086790,17361667000
A023530,15317339833
A086280,1896438474
A000030,18083408069
A004020,10787451333
A024110,13513806310
A128940,494235837.9
A161390,4200720703
A001040,7478074944
A047810,851449631.8
A018880,1396896012
A001800,1103940832
A088350,6945488135
A027410,354484169.7
A005830,2583621149
A036570,1065894514
A139480,6540320527
A097950,4134238627
A032640,3680038030
A078930,7300899103
A000120,2315481701
A029780,5915655905
A002380,5373878304
A004800,3013767719
A009240,250348020.1
A007070,1517129937
A009150,3886916420
A009830,4371636127
A012750,800041534
A000720,5038391870
A036460,8146629312
A000100,1165928449
A051600,570527079.5
A012630,2346078779
A004990,2690353994
A069960,3235682777
A007310,664110208.4
A000880,8885663090
A138930,4294399424
A001450,1829623960
A000210,4514555529
A037620,2293154635
A016360,3200126796
A047050,1975785571
A006800,3634711742
A008770,643184640.1
A005940,3505203103
A034020,6268638498
A012450,1569211123
A011210,1890113263
A071050,2554013940
A079160,338117659.9
A005300,2213337508
A047040,3083438449
A004370,1467373275
A010060,2951652281
A000240,2310941503
A011070,1360153157
A204320,1231949671
A010140,4573910224
A006280,696292713.8
A004170,4034111918
A006360,3600019992
A003520,89818269.68
A079550,330911509.2
A000150,6616080389
A001440,465116421.8
A003490,2864755003
A161890,155655355.4
A002550,1408805977
A011780,1391689759
A005440,1202354410
A111770,773647369.5
A028670,1912201966
A030000,709251560.6
A000670,2268499233
A006120,1729518308
A028050,886013455.9
A006260,2875905310
A002620,223223715.7
A120110,1846467799
A005610,187816408.7
A214320,297172866.5
A114090,309418975.5
A000080,1150262701
A003410,1167422634
A014820,167269069
A192400,270566056.8
A000060,1047201655
A057050,928907641.4
A138040,2147440114
A005250,952947916.3
A105630,245508874.4
A039490,829775763.8
A008560,855408177.4
A003690,1338663812
A003450,2864670208
A001740,2880384220
A010120,839089797.4
A001120,1313260751
A139130,2962000819
A006650,773526551.8
A064350,1315016715
A226320,82031923.88
A192820,88527074
A010620,2959620243
A017800,455216153
A002350,682729553.1
A073240,829614747
A002270,635049064.7
A010780,409523319.8
A042660,3284217566
A000070,1495588160
A108670,757593714.3
A042670,2802092281
A071840,1344542432
A181710,1186130712
A082640,1395054436
A003000,200457447.5
A068870,249597480.4
A023590,1105675536
A069620,402479074.3
A049770,403950599.9
A064960,542099495.8
A170900,493823585.2
A039130,156762823.6
A052690,376886054.6
A185750,314710811.7
A081660,379456177.9
A145990,503977379.2
A003240,2494872452
A180640,1276422744
A011790,1198815658
A006040,564185105.4
A001680,620415940.4
A025540,395527054.1
A020000,717926552
A003620,697087786.6
A037560,674083557.9
A001060,193453387.9
A000640,670614973.5
A006840,523565659.8
A008000,302491284.8
A001430,1327030411
A024720,169385106
A007570,165405444.7
A014680,176139355.6
A000990,330360844.9
A004000,1078926457
A175330,1966411667
A034310,455909283
A009970,1039007266
A103140,965013411.2
A033920,293067883.7
A009420,62208564.04
A089590,59520925.46
A020560,911241349.5
A071320,1425670081
A069260,428462425
A115390,500682140.3
A001520,481197746.5
A001230,2828873894
A019680,637448762.7
A096760,235223992.6
A018670,1029001796
A002240,1249718694
A000370,480790298.2
A016450,341024823.9
A072710,842589559.2
A005740,234039168
A101530,154349801.7
A012510,81990919.87
A053210,308546555.3
A060980,1228754643
A000230,309764712.6
A093050,833047619.7
A005180,424064449
A003090,577441185.4
A003300,1295641932
A085620,1069209281
A017810,267853047.8
A009450,174478042.2
A007340,547939590.4
A003470,1261906820
A020150,231782434.6
A002020,810638957.6
A210980,93943604.29
A003060,58325721.78
A002960,82857664.31
A031440,203377168.5
A138250,246033988.6
A093370,113025850.9
A004490,547066842.8
A044820,129576637.2
A009290,272302033.5
A008490,205105574.6
A029460,219446526.5
A078520,130816687.7
A005850,597013114.1
A003540,1683750723
A007210,209084013.4
A019170,176634184.1
A003850,152745990.7
A003920,800598419.4
A034120,537736137.4
A016380,1108137615
A058650,2080523940
A036580,209976656
A084690,727619591.2
A025860,367681187
A031430,343348134.2
A021960,351791675.4
A004430,269572849.8
A029530,806907045.5
A122900,304693479.8
A001720,898358851.6
A009410,1181878081
A004710,178659218.6
A002390,275357583.4
A005500,120313896.7
A000050,640898892.5
A192530,1356038277
A101060,663621370
A152330,189803633.9
A079430,190743069.5
