code,ri
A005930,1.750689655
A015760,0.81137931
A005380,1.786781609
A090430,2.825862069
A012330,1.538390805
A028260,-0.350833333
A035420,1.470229885
A032830,0.329850746
A000660,1.787586207
A000270,2.645977011
A055550,0.417586207
A051910,1.878965517
A005490,-0.786091954
A033780,0.762528736
A017670,0.169770115
A034730,2.635753425
A051900,2.683218391
A018260,0.058125
A096770,1.326551724
A000810,1.126436782
A105560,0.36744186
A002790,4.501264368
A003550,0.895977011
A011170,2.689310345
A010950,0.662413793
A034220,0.706321839
A035250,1.622528736
A010130,3.002988506
A066570,-0.214597701
A008930,5.026206897
A030200,-0.269425287
A021240,1.982183908
A009540,-0.442183908
A023530,0.821724138
A006400,1.377471264
A086790,0.54908046
A086280,2.524942529
A000030,-0.537126437
A004020,0.886091954
A001040,3.305862069
A024110,0.624137931
A161390,0.404473684
A047810,2.978679245
A018880,2.627356322
A001800,3.024712644
A128940,5.294
A088350,0.018550725
A027410,7.105263158
A097950,1.634137931
A139480,-0.330185185
A036570,3.260344828
A005830,2.597011494
A032640,0.689770115
A000120,1.879195402
A078930,1.383793103
A029780,0.483218391
A007070,2.594791667
A002380,1.126896552
A009240,4.528850575
A004800,1.974022989
A009830,2.424827586
A012750,1.201034483
A000720,-0.352413793
A009150,1.711034483
A036460,0.120344828
A004990,1.546781609
A051600,2.117126437
A000100,1.042298851
A012630,1.243333333
A069960,1.418390805
A007310,3.494942529
A000880,1.329885057
A001450,1.871034483
A138930,-0.620535714
A037620,-0.181034483
A000210,1.479310345
A003520,2.948735632
A016360,0.100689655
A006800,0.130229885
A047050,0.589310345
A008770,2.722873563
A005940,-0.088275862
A034020,-0.745977011
A010060,-0.631149425
A005300,1.741034483
A047040,0.087816092
A011210,2.171724138
A004370,1.266896552
A079160,3.301724138
A012450,1.491724138
A071050,1.227471264
A004170,0.353678161
A001440,-4.206091954
A000240,1.784712644
A006360,-0.441724138
A010140,0.247701149
A003490,0.599310345
A028050,0.714022989
A006280,1.586781609
A079550,6.81
A000150,0.793678161
A011780,2.08045977
A011070,1.556896552
A111770,3.256623377
A161890,4.556052632
A002550,1.374252874
A005610,5.229425287
A005440,1.997471264
A006120,1.95862069
A028670,-2.073908046
A204320,-0.622142857
A000670,2.53045977
A030000,1.683333333
A000080,-7.213333333
A114090,1.109178082
A120110,1.442714286
A105630,4.392962963
A214320,2.904
A014820,3.322758621
A006260,0.177241379
A000060,1.487931034
A057050,0.499365079
A192400,1.946875
A008560,2.29908046
A138040,3.458909091
A005250,3.256781609
A039490,1.843103448
A003690,1.091724138
A003450,0.369425287
A226320,#DIV/0!
A002620,2.962643678
A001740,0.32816092
A006650,4.118850575
A010120,0.634022989
A139130,-0.262222222
A001120,1.553908046
A064350,-2.87
A192820,5.4305
A017800,1.814942529
A003410,2.016896552
A002350,3.41045977
A000070,3.076551724
A010620,0.323678161
A002270,3.16954023
A010780,3.747931034
A042670,-0.549195402
A042660,-0.297586207
A108670,0.648125
A071840,0.846481481
A073240,-0.357011494
A181710,-1.127857143
A082640,0.410810811
A003000,1.915402299
A068870,1.238850575
A170900,0.48375
A023590,3.203218391
A052690,0.130833333
A049770,3.935287356
A039130,2.97954023
A185750,1.900833333
A145990,2.76375
A081660,0.861904762
A001680,3.115172414
A180640,1.04
A003240,1.097011494
A069620,1.76183908
A011790,1.592528736
A020000,2.430344828
A006040,2.245057471
A001060,3.431149425
A003620,0.981954023
A025540,2.662413793
A064960,2.40045977
A000640,2.232758621
A007570,3.995517241
A037560,-0.046486486
A008000,2.402413793
