code,vol
A005930,0.018347126
A015760,0.018713793
A005380,0.022882759
A012330,0.022362069
A090430,0.019771264
A035420,0.025132184
A028260,0.031916667
A000660,0.027886207
A032830,0.014383582
A000270,0.023255172
A055550,0.021012644
A005490,0.017728736
A051910,0.02381954
A017670,0.015590805
A033780,0.01618046
A051900,0.021691954
A034730,0.023616438
A096770,0.024611494
A018260,0.028725
A002790,0.023449425
A000810,0.018704598
A105560,0.020540698
A003550,0.020883908
A011170,0.029742529
A010950,0.021194253
A066570,0.021262069
A034220,0.023486207
A008930,0.028401149
A035250,0.020381609
A010130,0.026788506
A021240,0.021825287
A030200,0.014266667
A009540,0.026049425
A006400,0.023704598
A086790,0.023954023
A023530,0.021526437
A000030,0.003166667
A086280,0.025195402
A128940,0.027535385
A018880,0.026586207
A047810,0.023392593
A004020,0.023452874
A001040,0.023870115
A024110,0.022157471
A161390,0.018664103
A001800,0.023075862
A088350,0.016737681
A027410,0.025784211
A005830,0.02466092
A036570,0.028644828
A097950,0.022345977
A139480,0.020096296
A032640,0.020890805
A000120,0.024148276
A078930,0.021458621
A029780,0.019522989
A009240,0.025070115
A002380,0.023822989
A004800,0.0272
A007070,0.024229167
A009150,0.022435632
A009830,0.028898851
A012750,0.018673563
A000720,0.024028736
A036460,0.02038046
A000100,0.01924023
A012630,0.029428736
A051600,0.024693103
A004990,0.01817931
A069960,0.023258621
A007310,0.022629885
A001450,0.022483908
A000880,0.023445977
A138930,0.020649123
A000210,0.028898851
A047050,0.023866667
A016360,0.020078161
A037620,0.025029885
A006800,0.025125287
A008770,0.025654023
A005940,0.024827586
A011210,0.024751724
A034020,0.024534483
A071050,0.02452069
A079160,0.023328736
A047040,0.026514943
A010060,0.026989655
A012450,0.023867816
A005300,0.018047126
A004370,0.019722989
A003520,0.029285057
A000240,0.023542529
A010140,0.026555172
A001440,0.031157471
A079550,0.0398
A006280,0.023101149
A006360,0.029637931
A204320,0.019371429
A011070,0.028473563
A000150,0.025197701
A004170,0.021388506
A161890,0.028826316
A028670,0.036414943
A003490,0.022909195
A028050,0.02961954
A002550,0.02248046
A011780,0.029313793
A006120,0.025304598
A111770,0.024398701
A030000,0.02258046
A005440,0.020811494
A006260,0.021767816
A000060,0.022089655
A000080,0.047373563
A192400,0.02971875
A000670,0.023783908
A114090,0.026150685
A005610,0.025377011
A214320,0.02222
A105630,0.026077778
A138040,0.018303636
A003410,0.028672414
A014820,0.028822989
A120110,0.023514286
A057050,0.020650794
A005250,0.0246
A002620,0.024325287
A039490,0.023787356
A008560,0.021537931
A139130,0.019688889
A003450,0.025126437
A003690,0.021275862
A226320,0
A001740,0.025834483
A010120,0.020958621
A017800,0.030747126
A001120,0.025941379
A064350,0.021034615
A192820,0.033705
A006650,0.031547126
A010620,0.028095402
A010780,0.02742069
A002350,0.027565517
A073240,0.028370115
A000070,0.024668966
A042670,0.029267816
A069620,0.023735632
A042660,0.031144828
A002270,0.021173563
A181710,0.029257143
A108670,0.02194
A003000,0.026474713
A071840,0.022742593
A068870,0.023587356
A082640,0.018054054
A170900,0.02565625
A052690,0.028244444
A185750,0.025629167
A023590,0.029441379
A049770,0.025010345
A039130,0.026501149
A145990,0.023510417
A006040,0.018517241
A180640,0.028003704
A081660,0.020157143
A064960,0.02513908
A003240,0.019609195
A011790,0.027605747
A001060,0.029433333
A001680,0.027116092
A037560,0.020821622
A020000,0.023243678
A003620,0.031993103
A025540,0.022448276
A009420,0.033104598
A006840,0.028174713
A024720,0.032514943
A004000,0.021501149
A000990,0.036357471
A001430,0.025551724
A000640,0.022870115
A007570,0.032157471
A008000,0.025273563
A014680,0.023213793
A175330,0.014617241
A020560,0.023947126
A034310,0.019824138
A033920,0.020671264
A069260,0.021625287
A089590,0.0311125
A103140,0.027201149
A009970,0.022924138
A071320,0.016911268
A001520,0.03671954
A115390,0.026584507
A096760,0.027071264
A001230,0.027888506
A019680,0.020114943
A018670,0.018242529
A053210,0.025853704
A000370,0.019536782
A016450,0.030201149
A012510,0.033936782
A072710,0.014926437
A003090,0.020636782
A060980,0.024083582
A101530,0
A000230,0.025366667
A002020,0.029591954
A002240,0.017631034
A005180,0.020570115
A093050,0.022166667
A020150,0.033408621
A005740,0.025558621
A003470,0.029285057
A003300,0.023067816
A085620,0.02039375
A009450,0.024444828
A017810,0.02272069
A007340,0.019695402
A210980,0.0476
A044820,0.031456322
A117930,0.028433333
A138250,0.023933333
A002960,0.015728736
A003060,0.044282759
A011200,0.031391954
A031440,0.020012644
A093370,0.030222989
A029460,0.027642529
A008490,0.021896552
A004490,0.021741379
