date,kospi_var,rate_var,rate
19955,0.026351145,0.425966667,14.20 
19956,0.020235115,0.673891667,13.92 
19957,0.025908142,0.715366667,13.52 
19958,0.022647103,0.362566667,12.70 
19959,0.021235,0.224025,12.09 
199510,0.019531266,0.063491667,11.55 
199511,0.019212655,0.041366667,11.36 
199512,0.022944769,0.0451,10.95 
19961,0.024566102,0.049133333,11.23 
19962,0.022017422,0.076866667,11.40 
19963,0.023273508,0.075291667,11.40 
19964,0.025377327,0.137166667,10.93 
19965,0.027629356,0.241625,10.91 
19966,0.026389737,0.119625,11.39 
19967,0.027740509,0.040425,11.67 
19968,0.026271789,0.009225,12.08 
19969,0.026927002,0.011425,12.11 
199610,0.030561098,0.012691667,11.93 
199611,0.03006644,0.010066667,11.93 
199612,0.03393991,0.005158333,12.12 
19971,0.038607269,0.008491667,12.13 
19972,0.030760352,0.010766667,11.98 
19973,0.038582057,0.062266667,12.12 
19974,0.029392998,0.086766667,12.20 
19975,0.032477729,0.064266667,12.20 
19976,0.02925393,1E-04,11.68 
19977,0.028331818,0,11.70 
19978,0.025942366,0.070225,11.70 
19979,0.029557356,2.055225,11.70 
199710,0.043505957,5.2686,11.70 
199711,0.049032059,4.345766667,12.23 
199712,0.066690909,0.912891667,14.70 
19981,0.056746835,0.071091667,16.65 
19982,0.050600422,0.090266667,16.60 
19983,0.043643789,0.738491667,16.58 
19984,0.046827368,3.286866667,16.08 
19985,0.060978947,4.315825,16.06 
19986,0.058560421,1.882133333,14.59 
19987,0.050009684,1.274958333,12.23 
19988,0.047931303,2.313366667,11.59 
19989,0.041336345,3.427891667,11.87 
199810,0.04167584,1.135691667,9.70 
199811,0.042028151,0.386025,8.70 
199812,0.068558824,0.205025,7.50 
19991,0.063248637,0.348866667,7.49 
19992,0.044495607,0.316866667,8.40 
19993,0.035974268,0.211266667,8.10 
19994,0.044493305,0.314966667,7.09 
19995,0.053921757,0.408891667,7.97 
19996,0.04283737,0.718625,7.92 
19997,0.054816875,0.321358333,8.44 
19998,0.04471875,0.0963,9.30 
19999,0.041486186,0.136833333,9.81 
199910,0.042842062,0.176558333,9.10 
199911,0.045960575,0.061425,9.57 
199912,0.060223625,0.0656,9.94 
20001,0.053296559,0.0912,10.02 
20002,0.056654251,0.020025,9.54 
20003,0.061464372,0.058866667,9.54 
20004,0.058250303,0.228966667,9.30 
20005,0.064447475,0.288291667,9.29 
20006,0.05295697,0.124958333,8.95 
20007,0.044376364,0.004625,8.28 
20008,0.041816532,0.117166667,8.17 
20009,0.054331992,0.411958333,8.31 
200010,0.048125703,0.7267,8.19 
200011,0.040262525,0.623425,7.55 
200012,0.044703386,0.231466667,6.92 
20011,0.050001587,0.385066667,6.20 
20012,0.038266931,0.452358333,5.76 
20013,0.037715187,0.1707,6.40 
20014,0.03350334,0.244491667,7.24 
20015,0.033873386,0.457166667,7.05 
20016,0.033320548,0.365166667,6.49 
20017,0.035520352,0.169166667,6.17 
20018,0.031698249,0.176666667,5.43 
20019,0.05865165,0.399091667,5.21 
200110,0.033021124,0.287025,5.65 
200111,0.033289168,0.079133333,6.19 
200112,0.03532471,0.023233333,6.66 
20021,0.036715222,0.0299,6.85 
20022,0.039241346,0.031691667,6.66 
20023,0.039570115,0.105666667,6.97 
20024,0.040132122,0.187366667,7.06 
20025,0.036152672,0.179958333,6.80 
20026,0.045005534,0.072666667,6.33 
20027,0.038189885,0.032366667,6.11 
20028,0.028749905,0.015158333,5.79 
20029,0.036292642,0.013691667,5.77 
200210,0.034683208,0.057091667,5.71 
200211,0.024866604,0.103558333,5.52 
200212,0.030945421,0.095825,5.57 
20031,0.028846355,0.025158333,5.15 
20032,0.027155493,0.057225,4.89 
20033,0.040920818,0.115558333,4.94 
20034,0.034931413,0.064666667,4.77 
20035,0.028663383,0.099866667,4.41 
20036,0.026213383,0.096158333,4.19 
20037,0.026266048,0.042891667,4.63 
20038,0.027156089,0.091266667,4.93 
20039,0.027704797,0.125266667,4.46 
200310,0.025198893,0.0891,4.53 
200311,0.028567712,0.0011,5.08 
200312,0.029325599,0.0171,5.13 
20041,0.028322243,0.023558333,5.16 
20042,0.030098897,0.025266667,5.13 
20043,0.027867033,0.020225,4.88 
20044,0.028168498,0.032866667,4.88 
