date,dy,code
20080930,1.22,A005930
20080930,0,A015760
20080930,2.15,A005380
20080930,1.58,A012330
20080930,0.76,A090430
20080930,0,A035420
20080930,0,A028260
20080930,0,A032830
20080930,0,A000660
20080930,0,A000270
20080930,0,A055550
20080930,4.5,A017670
20080930,2.63,A005490
20080930,3.54,A033780
20080930,3.52,A051910
20080930,1.05,A051900
20080930,0,A034730
20080930,2.79,A096770
20080930,1.38,A002790
20080930,1.88,A000810
20080930,0,A105560
20080930,0,A018260
20080930,1.76,A003550
20080930,8.13,A010950
20080930,0.48,A011170
20080930,5.27,A035250
20080930,2.74,A010130
20080930,0.58,A008930
20080930,0.47,A066570
20080930,2.38,A034220
20080930,2.51,A009540
20080930,2.99,A030200
20080930,3.26,A021240
20080930,0.45,A006400
20080930,1.03,A086790
20080930,0.6,A023530
20080930,1.07,A086280
20080930,0,A000030
20080930,0,A047810
20080930,0,A128940
20080930,0,A161390
20080930,0,A024110
20080930,1.33,A004020
20080930,3.75,A001040
20080930,4.55,A018880
20080930,0.96,A001800
20080930,0,A088350
20080930,0,A027410
20080930,2.93,A005830
20080930,2.79,A036570
20080930,0.56,A097950
20080930,0,A139480
20080930,0,A000120
20080930,1.86,A078930
20080930,2.01,A032640
20080930,1.63,A029780
20080930,5.97,A009240
20080930,2.43,A002380
20080930,1.96,A004800
20080930,0,A007070
20080930,2.04,A012750
20080930,0.75,A009150
20080930,5.83,A009830
20080930,0.88,A000720
20080930,2.03,A036460
20080930,0.45,A000100
20080930,1.54,A012630
20080930,3.2,A051600
20080930,0.95,A069960
20080930,1.39,A007310
20080930,0.23,A004990
20080930,4,A001450
20080930,2.6,A000880
20080930,0,A138930
20080930,0.22,A000210
20080930,1.73,A016360
20080930,0.22,A047050
20080930,0.35,A037620
20080930,1.56,A008770
20080930,1.09,A006800
20080930,3.25,A005940
20080930,0,A011210
20080930,1.4,A012450
20080930,0.34,A071050
20080930,0,A003520
20080930,1.64,A079160
20080930,2.82,A047040
20080930,1.64,A004370
20080930,0.79,A034020
20080930,2.21,A010140
20080930,0.26,A005300
20080930,0.68,A010060
20080930,0,A079550
20080930,1.07,A006280
20080930,0.98,A000240
20080930,0,A204320
20080930,2.82,A001440
20080930,0,A161890
20080930,1.04,A000150
20080930,0.86,A006360
20080930,0.93,A011070
20080930,0.26,A004170
20080930,0,A003490
20080930,3.88,A028670
20080930,3.45,A028050
20080930,4.1,A011780
20080930,0.37,A006120
20080930,1.31,A006260
20080930,3.75,A002550
20080930,0.91,A005440
20080930,4.1,A030000
20080930,0,A111770
20080930,1.29,A000060
20080930,1.01,A002620
20080930,4.5,A014820
20080930,0.47,A000670
20080930,0,A120110
20080930,0,A192400
20080930,5.51,A005610
20080930,3.21,A005250
20080930,0,A000080
20080930,0,A003410
20080930,0,A214320
20080930,0,A114090
20080930,0,A138040
20080930,0,A105630
20080930,0,A057050
20080930,4.1,A008560
20080930,1.32,A039490
20080930,2.12,A003690
20080930,0,A139130
20080930,0,A226320
20080930,0.77,A017800
20080930,2.19,A003450
20080930,1.93,A010120
20080930,0,A192820
20080930,1.19,A001740
20080930,0,A064350
20080930,0.75,A010780
20080930,1.37,A001120
20080930,3.7,A010620
20080930,0,A073240
20080930,0,A006650
20080930,0.74,A002350
20080930,1.03,A042670
20080930,1.43,A069620
20080930,3.26,A042660
20080930,1.62,A000070
20080930,0,A108670
20080930,1.43,A003000
20080930,0,A181710
20080930,0,A068870
20080930,0,A071840
20080930,0.5,A002270
20080930,0,A170900
20080930,2.75,A049770
20080930,0,A082640
20080930,0,A185750
20080930,0,A052690
20080930,1.76,A023590
20080930,3.38,A001060
20080930,3.22,A039130
20080930,0,A081660
20080930,0,A064960
20080930,0,A145990
20080930,0.15,A003240
20080930,1.58,A011790
20080930,0,A180640
20080930,0,A001680
20080930,2.55,A020000
20080930,0,A009420
20080930,2.64,A024720
20080930,2.75,A006040
20080930,0,A037560
20080930,0,A003620
20080930,2.74,A025540
20080930,0.79,A000640
20080930,4.59,A006840
20080930,0,A007570
20080930,4.8,A001430
20080930,0,A008000
20080930,1.69,A004000
20080930,0,A000990
20080930,5.77,A014680
20080930,0,A175330
20080930,0,A020560
20080930,4.58,A069260
20080930,2.49,A034310
20080930,2.32,A033920
20080930,0,A071320
20080930,3.2,A009970
20080930,0,A089590
20080930,0,A103140
20080930,0,A115390
20080930,0,A096760
20080930,2.79,A001230
20080930,16.29,A019680
20080930,3.17,A018670
20080930,0,A001520
20080930,2.2,A003090
20080930,2.01,A000230
20080930,0,A060980
20080930,0,A053210
20080930,0,A000370
20080930,3.45,A072710
20080930,0,A012510
20080930,2.9,A016450
20080930,0,A020150
20080930,1.06,A002240
20080930,1.03,A002020
20080930,2.76,A005180
20080930,1.29,A003470
20080930,1.86,A093050
20080930,1.22,A003300
20080930,0,A101530
20080930,1.33,A007340
20080930,0,A085620
20080930,2.75,A009450
20080930,1.57,A005740
20080930,1.91,A017810
20080930,4.64,A044820
20080930,0,A210980
20080930,1.93,A031440
20080930,8.53,A002960
20080930,0.36,A078520
20080930,0,A093370
20080930,2.04,A003850
20080930,0,A138250
20080930,0,A003060
20080930,4.51,A008490
20080930,1.87,A009290
20080930,0,A117930
20080930,1.63,A004490
20080930,0.86,A029460
20080930,1.35,A011200
20080930,5.88,A003540
20080930,1.67,A005850
20080930,0.2,A003920
20080930,0,A214420
20080930,0,A036580
20080930,0,A034120
20080930,2.17,A007210
20080930,0,A004430
20080930,6.52,A084690
20080930,0,A122900
20080930,4.59,A029530
20080930,2.32,A058650
20080930,1.4,A002390
20080930,0,A031430
20080930,1.76,A009410
20080930,4.14,A001720
20080930,4.29,A021960
20080930,4.37,A079430
20080930,1.92,A004710
20080930,2.65,A019170
20080930,9.49,A006060
20080930,2.72,A025860
20080930,0,A000050
20080930,0,A070960
20080930,0.34,A005500
20080930,2.1,A016380
20080930,1.37,A101060
20080930,0,A192530
20080930,0.96,A004690
20080930,0,A002630
20080930,3.42,A014830
20080930,5.17,A002250
20080930,2.15,A017940
20080930,0.76,A005880
20080930,2.03,A017390
20080930,3.59,A005090
20080930,0,A006390
20080930,1.24,A037710
20080930,0,A152330
20080930,3.9,A095720
20080930,0.35,A097230
20080930,0,A900140
20080930,2.36,A005720
20080930,3.45,A003030
20080930,0,A102460
20080930,0,A015860
20080930,0,A005690
20080930,1.1,A002320
20080930,1.57,A001630
20080930,0,A032350
20080930,0,A003560
20080930,2.94,A016800
20080930,0,A214390
20080930,0,A001780
20080930,0,A126560
20080930,0,A033660
20080930,3.45,A042700
20080930,0,A000400
20080930,3.78,A003220
20080930,2.9,A104700
20080930,0,A102280
20080930,5.62,A015350
20080930,0,A213500
20080930,0,A011760
20080930,5.24,A036530
20080930,3.64,A007690
20080930,2.74,A002810
20080930,0,A112610
20080930,0,A138490
20080930,0,A200880
20080930,2.46,A033270
20080930,0.6,A030610
20080930,7.31,A008060
20080930,0.23,A001510
20080930,0,A004150
20080930,0,A004440
20080930,2.4,A003200
20080930,0,A005810
20080930,0,A004700
20080930,2.71,A002990
20080930,4.74,A027390
20080930,2.34,A000480
20080930,1.44,A004360
20080930,3.48,A016580
20080930,1.83,A000140
20080930,5.17,A089470
20080930,0,A095570
20080930,0.55,A001460
20080930,1.71,A003570
20080930,0,A007160
20080930,2.2,A001130
20080930,7.1,A008730
20080930,0.69,A003120
20080930,0,A102260
20080930,0,A194370
20080930,0,A002780
20080930,3.35,A009680
20080930,3.43,A000430
20080930,1.85,A000020
20080930,0,A107590
20080930,0,A001500
20080930,0,A183190
20080930,2.91,A011160
20080930,0,A039570
20080930,0,A079980
20080930,0,A004060
20080930,1.97,A012320
20080930,1.2,A002000
20080930,2.29,A017960
20080930,3.64,A000970
20080930,6.06,A004130
20080930,6.47,A004250
20080930,2.97,A010050
20080930,0,A002450
20080930,0,A000680
20080930,4.25,A005950
20080930,5.14,A000390
20080930,4.09,A000320
20080930,0,A000180
20080930,1.25,A004970
20080930,0,A009580
20080930,0.62,A004840
20080930,2.87,A003530
20080930,0,A161000
20080930,0,A011000
20080930,2.45,A003070
20080930,4.18,A092230
20080930,0,A082740
20080930,1.25,A085310
20080930,2.76,A000700
20080930,4.48,A025000
20080930,2.91,A000860
20080930,7.78,A007860
20080930,0,A004980
20080930,0,A013520
20080930,5.86,A004380
20080930,0,A001200
20080930,5.62,A010690
20080930,2.38,A005680
20080930,1.27,A002030
20080930,4.1,A012200
20080930,8.71,A001250
20080930,0,A001880
20080930,0,A000540
20080930,3.28,A014280
20080930,6.46,A084010
20080930,3.44,A033240
20080930,0,A012160
20080930,0,A001360
20080930,0,A067830
20080930,4.81,A015360
20080930,2.5,A011280
20080930,0,A007810
20080930,0,A136490
20080930,2.5,A007700
20080930,4.2,A090350
20080930,0,A010820
20080930,2.54,A001940
20080930,0,A005390
20080930,1.07,A007540
20080930,0,A069640
20080930,0,A006490
20080930,0,A002880
20080930,1.71,A091090
20080930,0,A002360
20080930,0.97,A001790
20080930,4.74,A007660
20080930,0,A084680
20080930,0,A068400
20080930,0,A004540
20080930,2.51,A092200
20080930,8.7,A037270
20080930,0,A011090
20080930,3.66,A004960
20080930,0,A130660
20080930,1.3,A021820
20080930,0,A084870
20080930,0,A900050
20080930,2.36,A000490
20080930,3.13,A012610
20080930,6.12,A001270
20080930,0,A000040
20080930,1.83,A044450
20080930,0,A025560
20080930,0,A227840
20080930,5.3,A100250
20080930,2.64,A002840
20080930,0,A035150
20080930,1.5,A004830
20080930,5.79,A033530
20080930,0,A004200
20080930,0,A103590
20080930,1.87,A009440
20080930,0,A005750
20080930,0,A016880
20080930,2.73,A005980
20080930,5.43,A003460
20080930,3.66,A034300
20080930,1.41,A003230
20080930,6.85,A026890
20080930,4.72,A007980
20080930,0,A163560
20080930,2.22,A100840
20080930,0,A117580
20080930,3.02,A092440
20080930,0,A058860
20080930,0,A005870
20080930,2.95,A004310
20080930,0.43,A011930
20080930,0,A006220
20080930,0,A002150
20080930,1.93,A013570
20080930,0,A019440
20080930,1.89,A002460
20080930,4.24,A001390
20080930,7.08,A004910
20080930,0,A006380
20080930,3.17,A009160
20080930,1.92,A019300
20080930,0,A002310
20080930,5.81,A063160
20080930,1.33,A002170
20080930,0,A094280
20080930,0,A009310
20080930,10.17,A003650
20080930,5.85,A075180
20080930,3.96,A016710
20080930,9.24,A041650
20080930,0,A003160
20080930,0.99,A002300
20080930,1.25,A001820
20080930,0,A123690
20080930,2.42,A016090
20080930,0,A030210
20080930,1.51,A003280
20080930,0,A005110
20080930,0,A014130
20080930,0,A016610
20080930,4.16,A015890
20080930,0,A004870
20080930,1.92,A000890
20080930,3.78,A006370
20080930,3.11,A004890
20080930,0,A012690
20080930,0,A008350
20080930,5.06,A003480
20080930,5.78,A014790
20080930,0.5,A002210
20080930,1.41,A002820
20080930,2.17,A035510
20080930,2.2,A005190
20080930,1.96,A001530
20080930,1.31,A005800
20080930,2.35,A100220
20080930,1.89,A024090
20080930,2,A035000
20080930,0,A004560
20080930,0.98,A003830
20080930,0,A001380
20080930,3.01,A058430
20080930,0,A047400
20080930,0,A023000
20080930,0,A024890
20080930,0,A006090
20080930,3.07,A012030
20080930,0.75,A003350
20080930,1.88,A077970
20080930,5.25,A034590
20080930,0,A103130
20080930,0,A002700
20080930,3.66,A033180
20080930,0,A014990
20080930,5.15,A008600
20080930,0,A017900
20080930,0,A003960
20080930,0,A075580
20080930,0,A012170
20080930,0,A053690
20080930,0.69,A004770
20080930,0,A006340
20080930,3.88,A068290
20080930,0,A093240
20080930,0,A110570
20080930,5.35,A078000
20080930,4.61,A009270
20080930,1.55,A017180
20080930,0,A018470
20080930,7.37,A014530
20080930,0,A025750
20080930,0,A134380
20080930,0,A105840
20080930,0,A011150
20080930,0,A000650
20080930,0,A004720
20080930,0,A008040
20080930,4.38,A009200
20080930,0,A012280
20080930,0,A014710
20080930,5.39,A003080
20080930,0,A014160
20080930,5.86,A002100
20080930,0,A058850
20080930,0,A000300
20080930,0,A079660
20080930,1.87,A005430
20080930,2,A004080
20080930,4.55,A000850
20080930,0,A001020
20080930,0,A007110
20080930,0,A018500
20080930,0,A007120
20080930,0,A001260
20080930,1.68,A008970
20080930,0,A123700
20080930,0,A008250
20080930,0,A027740
20080930,2.17,A006980
20080930,0,A015260
20080930,0,A002600
20080930,0,A008700
20080930,0,A017040
20080930,0,A077500
20080930,0,A020760
20080930,2.25,A009070
20080930,3.44,A013580
20080930,0,A017550
20080930,0.63,A001470
20080930,0,A028100
20080930,0,A006880
20080930,2.75,A007590
20080930,0,A129260
20080930,4.39,A002920
20080930,2.14,A003610
20080930,0,A007190
20080930,3.28,A005360
20080930,0.82,A002720
20080930,0,A145210
20080930,0,A011690
20080930,6.85,A005010
20080930,1.04,A000220
20080930,4.6,A004450
20080930,3.43,A009770
20080930,0,A071970
20080930,1.97,A081000
20080930,5.54,A016590
20080930,0,A025620
20080930,6.7,A001750
20080930,0,A012800
20080930,0,A013870
20080930,5.46,A000500
20080930,4.46,A002900
20080930,5.37,A084670
20080930,1.27,A010960
20080930,0,A092220
20080930,4.74,A006570
20080930,0,A133820
20080930,0,A000590
20080930,0.93,A014910
20080930,6.35,A083420
20080930,0,A011330
20080930,0,A021050
20080930,1.57,A001340
20080930,0,A013000
20080930,1.34,A032560
20080930,0,A010100
20080930,4.61,A023800
20080930,2.69,A005960
20080930,1.83,A011810
20080930,2.12,A058730
20080930,2.41,A001210
20080930,1.82,A011700
20080930,0.55,A006660
20080930,1.11,A008260
20080930,0,A214330
20080930,2.12,A014440
20080930,7.89,A001570
20080930,0,A120030
20080930,1.68,A015230
20080930,0,A118000
20080930,6.91,A002200
20080930,0,A109070
20080930,0,A011420
20080930,1.6,A001080
20080930,0,A144620
20080930,4.69,A025530
20080930,0,A015590
20080930,1.43,A004100
20080930,2.56,A008870
20080930,7.35,A014580
20080930,0,A128820
20080930,3.58,A072130
20080930,4.85,A015020
20080930,0,A155660
20080930,0,A090080
20080930,0,A210540
20080930,5.36,A006890
20080930,0.95,A104120
20080930,0,A119650
20080930,5.67,A030790
20080930,0,A009460
20080930,8.63,A024070
20080930,6.67,A093230
20080930,0,A010040
20080930,4.36,A023810
20080930,5.71,A004270
20080930,0,A001290
20080930,0,A088790
20080930,0,A000950
20080930,0.74,A004090
20080930,0,A001620
20080930,0,A005320
20080930,0,A071950
20080930,1.25,A012600
20080930,0,A004740
20080930,0,A002760
20080930,0,A005420
20080930,0,A009320
20080930,0,A003780
20080930,1.33,A006740
20080930,1.2,A000910
20080930,0,A023350
20080930,1.61,A002070
20080930,3.93,A011500
20080930,2.14,A001560
20080930,0,A044380
20080930,0,A001070
20080930,0.54,A007610
20080930,1.33,A017370
20080930,0,A009190
20080930,0,A003580
20080930,0,A011300
20080930,0,A031820
20080930,3.68,A025820
20080930,0.91,A104110
20080930,4.64,A024900
20080930,1.41,A023450
20080930,0,A023150
20080930,3.29,A000520
20080930,0.77,A002410
20080930,1.37,A004140
20080930,6.28,A010660
20080930,0,A101140
20080930,3.4,A013700
20080930,0,A003720
20080930,1.17,A069730
20080930,2.36,A008420
20080930,4.87,A026940
20080930,0,A000760
20080930,0,A004410
20080930,2.09,A002710
20080930,1.83,A009180
20080930,6.39,A010770
20080930,0,A033250
20080930,5.56,A013360
20080930,0,A008110
20080930,0,A002140
20080930,0,A001550
20080930,1.3,A010420
20080930,0,A003680
20080930,0,A020120
20080930,0,A051630
20080930,0,A005070
20080930,3.14,A090370
20080930,3.32,A005820
20080930,0,A002690
20080930,1.54,A005620
20080930,0,A009810
20080930,0,A069460
20080930,0,A049800
20080930,6.09,A019180
20080930,3.38,A003010
20080930,2.3,A023960
20080930,0,A011390
20080930,2.14,A006200
20080930,0,A007460
20080930,0,A004920
20080930,0,A002220
20080930,6.17,A005030
20080930,0,A134790
20080930,1.77,A005450
20080930,2.3,A071090
20080930,0,A074610
20080930,3.75,A006110
20080930,5.49,A019490
20080930,0,A030720
20080930,5.4,A008500
20080930,1.03,A009470
20080930,5.29,A009140
20080930,4.69,A025890
20080930,0,A007630
20080930,0,A015540
20080930,0,A010600
20080930,0,A010580
20080930,0.6,A001420
20080930,0,A027970
20080930,0,A011230
20080930,0,A011720
20080930,0,A002870
20080930,4.2,A002420
20080930,0,A010640
20080930,5.31,A001770
20080930,0,A001140
20080930,0.94,A007280
20081231,1.22,A005930
20081231,0,A015760
20081231,2.15,A005380
20081231,1.58,A012330
20081231,0.76,A090430
20081231,0,A035420
20081231,0,A028260
20081231,0,A032830
20081231,0,A000660
20081231,0,A000270
20081231,0,A055550
20081231,4.5,A017670
20081231,2.63,A005490
