date,code,owner,dy,p_return,bps,eps
20080930,A005930,3934319,1.22,-2.8,393969.64,32479.95
20080930,A015760,533653,0,-0.65,65002.27,-4606.43
20080930,A005380,2080792,2.15,-2.07,69320.37,3330.79
20080930,A012330,900086,1.58,-1.17,62116.57,11968.11
20080930,A090430,76640,0.76,-0.15,161800.17,24665.97
20080930,A035420,301954,0,0.61,23665.66,7669.58
20080930,A028260,0,0,0,853822.03,69435.82
20080930,A032830,0,0,0,371532.55,5682.9
20080930,A000660,883432,0,-3.66,11075.22,-10272.96
20080930,A000270,1191568,0,-2.64,0,-259.59
20080930,A055550,1936131,0,1.61,38385.8,4331.57
20080930,A017670,3075475,4.5,-0.26,156466.57,14973.07
20080930,A005490,3146751,2.63,2.06,345988.92,50222.61
20080930,A033780,1337840,3.54,0,26681.69,6385.41
20080930,A051910,1553480,3.52,0.91,58458.51,11949.76
20080930,A051900,49093,1.05,0,31275.97,6735.19
20080930,A034730,0,0,0,51338.23,7230.23
20080930,A096770,382965,2.79,1.75,80222.38,9486.94
20080930,A002790,20129,1.38,0,164227.29,8586.82
20080930,A000810,1011006,1.88,-0.46,78315.13,11839.93
20080930,A105560,0,0,0,52024.34,1717.2
20080930,A018260,0,0,0,20712.77,4124.14
20080930,A003550,949525,1.76,0.44,35519.73,5186.25
20080930,A010950,159751,8.13,-0.44,29121.3,3826.54
20080930,A011170,88466,0.48,-1.19,87980.87,-1461.9
20080930,A035250,180519,5.27,1.33,8134.91,1445.52
20080930,A010130,94562,2.74,-0.69,96912.56,14975.89
20080930,A008930,50754,0.58,0,44675.06,8226.2
20080930,A066570,2073406,0.47,-0.84,51684.82,2709.79
20080930,A034220,899109,2.38,-0.76,25924.02,3037.59
20080930,A009540,1430868,2.51,0.47,96175.3,29659.16
20080930,A030200,371868,2.99,-0.11,46271,1638.89
20080930,A021240,216763,3.26,0.99,8018.12,1710.87
20080930,A006400,806854,0.45,0.12,100991.95,824.01
20080930,A086790,3412480,1.03,0.25,42763.13,2282
20080930,A023530,246208,0.6,-1.58,304077.05,25598.17
20080930,A086280,176094,1.07,-0.65,16729.47,3127.84
20080930,A000030,3631,0,0,16886.7,331.43
20080930,A047810,0,0,0,5288.91,221.69
20080930,A128940,0,0,0,0,0
20080930,A161390,0,0,0,0,0
20080930,A024110,830792,0,-0.31,13965.12,1879.87
20080930,A004020,628828,1.33,0.38,56777.32,9641.27
20080930,A001040,441307,3.75,1.47,68931.71,9493.45
20080930,A018880,73547,4.55,2.97,8274.37,883.74
20080930,A001800,154130,0.96,0.68,78687.04,-4880.77
20080930,A088350,0,0,0,5071.9,116.82
20080930,A027410,0,0,0,36552.64,8116.55
20080930,A005830,639675,2.93,1.32,12287,3269.88
20080930,A036570,258692,2.79,2,25440.71,1251.8
20080930,A097950,478147,0.56,-0.91,117408.02,1729.02
20080930,A139480,0,0,0,0,0
20080930,A000120,13532,0,-1.45,122698.45,3906.5
20080930,A078930,182579,1.86,-1.84,37477.13,1184.61
20080930,A032640,218528,2.01,-0.13,7094.24,1022.65
20080930,A029780,134011,1.63,-1.49,30707.26,2096.17
20080930,A009240,7231,5.97,1.43,7487.65,830.68
20080930,A002380,124062,2.43,1.63,328361.02,17677.8
20080930,A004800,292922,1.96,-0.53,70450.82,3374.03
20080930,A007070,0,0,0,57375.72,3374.92
20080930,A012750,70462,2.04,0,17549.69,3023.02
20080930,A009150,226992,0.75,-4.08,25641.95,619.02
20080930,A009830,101622,5.83,-0.43,16770.47,328.95
20080930,A000720,534115,0.88,0.72,25839.96,3174.53
20080930,A036460,319279,2.03,0.4,54080.88,4242.12
20080930,A000100,58934,0.45,2.34,90320.94,12763.61
20080930,A012630,243966,1.54,0,30126.52,2402.88
20080930,A051600,3166,3.2,2.39,9117.5,1525.85
20080930,A069960,132487,0.95,-2.08,68505.28,9797.97
20080930,A007310,13375,1.39,1,108727.03,15332.42
20080930,A004990,53047,0.23,0.48,1279385.27,124240.4
20080930,A001450,21267,4,1.33,9603.52,1287.96
20080930,A000880,339104,2.6,-2.12,24700.33,3910.86
20080930,A138930,0,0,0,0,0
20080930,A000210,133277,0.22,-0.47,82658.75,2792.77
20080930,A016360,746393,1.73,-1.36,37526.27,3437
20080930,A047050,204840,0.22,1.62,11125.51,903.43
20080930,A037620,755595,0.35,-3.3,43035.74,3158.45
20080930,A008770,162908,1.56,-0.72,12509.34,623.57
20080930,A006800,680076,1.09,-2.84,12353.38,878.31
20080930,A005940,267225,3.25,-1.55,15614.87,1200.95
20080930,A011210,0,0,0,34802.1,2134.92
20080930,A012450,119476,1.4,-4.04,14092.92,956.09
20080930,A071050,110479,0.34,0.12,30223.82,-2555.59
20080930,A003520,0,0,-5.02,541.48,-49.42
20080930,A079160,74219,1.64,1.56,9469.06,971.53
20080930,A047040,218624,2.82,-0.63,10443.49,755.69
20080930,A004370,74020,1.64,3.95,195730.54,12899.89
20080930,A034020,512687,0.79,-2.94,33762.28,-687.7
20080930,A010140,257306,2.21,-0.67,12896.8,2584.22
20080930,A005300,29631,0.26,0.6,1005930.02,42827.99
