date,code,owner,dy,p_return,bps,eps
20080930,A005930,877295,1.22,-2.8,393969.64,32479.95
20080930,A015760,144598,0,-0.65,65002.27,-4606.43
20080930,A005380,1599269,2.15,-2.07,69320.37,3330.79
20080930,A012330,236351,1.58,-1.17,62116.57,11968.11
20080930,A090430,42761,0.76,-0.15,161800.17,24665.97
20080930,A035420,1357035,0,0.61,23665.66,7669.58
20080930,A028260,0,0,0,853822.03,69435.82
20080930,A032830,0,0,0,371532.55,5682.9
20080930,A000660,158925,0,-3.66,11075.22,-10272.96
20080930,A000270,377033,0,-2.64,0,-259.59
20080930,A055550,461380,0,1.61,38385.8,4331.57
20080930,A017670,397178,4.5,-0.26,156466.57,14973.07
20080930,A005490,623934,2.63,2.06,345988.92,50222.61
20080930,A033780,255826,3.54,0,26681.69,6385.41
20080930,A051910,1330362,3.52,0.91,58458.51,11949.76
20080930,A051900,43100,1.05,0,31275.97,6735.19
20080930,A034730,0,0,0,51338.23,7230.23
20080930,A096770,308172,2.79,1.75,80222.38,9486.94
20080930,A002790,82621,1.38,0,164227.29,8586.82
20080930,A000810,419781,1.88,-0.46,78315.13,11839.93
20080930,A105560,0,0,0,52024.34,1717.2
20080930,A018260,0,0,0,20712.77,4124.14
20080930,A003550,856488,1.76,0.44,35519.73,5186.25
20080930,A010950,26458,8.13,-0.44,29121.3,3826.54
20080930,A011170,21427,0.48,-1.19,87980.87,-1461.9
20080930,A035250,38537,5.27,1.33,8134.91,1445.52
20080930,A010130,135523,2.74,-0.69,96912.56,14975.89
20080930,A008930,36961,0.58,0,44675.06,8226.2
20080930,A066570,1105270,0.47,-0.84,51684.82,2709.79
20080930,A034220,814378,2.38,-0.76,25924.02,3037.59
20080930,A009540,449673,2.51,0.47,96175.3,29659.16
20080930,A030200,161696,2.99,-0.11,46271,1638.89
20080930,A021240,111903,3.26,0.99,8018.12,1710.87
20080930,A006400,35123,0.45,0.12,100991.95,824.01
20080930,A086790,576139,1.03,0.25,42763.13,2282
20080930,A023530,109277,0.6,-1.58,304077.05,25598.17
20080930,A086280,20743,1.07,-0.65,16729.47,3127.84
20080930,A000030,31,0,0,16886.7,331.43
20080930,A047810,0,0,0,5288.91,221.69
20080930,A128940,0,0,0,0,0
20080930,A161390,0,0,0,0,0
