code,kospi200
A005930,1
A005380,1
A005490,1
A028260,1
A012330,1
A018260,1
A015760,1
A032830,1
A055550,1
A051910,1
A000270,1
A000660,1
A009540,1
A105560,1
A017670,1
A035420,1
A066570,1
A096770,1
A003550,1
A000810,1
A034220,1
A033780,1
A023530,1
A030200,1
A010950,1
A086790,1
A090430,1
A051900,1
A004020,1
A024110,1
A010140,1
A000720,1
A034730,1
A139480,1
A006400,1
A086280,1
A011170,1
A088350,1
A161390,1
A009150,1
A034020,1
A010130,1
A035250,1
A004170,1
A029780,1
A010060,1
A042660,1
A078930,1
A028050,1
A036460,1
A036570,1
A011210,1
A002380,1
A016360,1
A002790,1
A001800,1
A021240,1
A006800,1
A047040,1
A097950,1
A032640,1
A006360,1
A047810,1
A047050,1
A011200,1
A012450,1
A000240,1
A003490,1
A001040,1
A000150,1
A005830,1
A069960,1
A000210,1
A042670,1
A138930,1
A009830,1
A027410,1
A018880,1
A000880,1
A052690,1
A010620,1
A004800,1
A006260,1
A000120,1
A011780,1
A012630,1
A001740,1
A051600,1
A005940,1
A012750,1
A007070,1
A071050,1
A001450,1
A060980,1
A004990,1
A192400,1
A037620,1
A139130,1
A008770,1
A010120,1
A030000,1
A003450,1
A011070,1
A000100,1
A064350,1
A000670,1
A114090,1
A117930,1
A005300,1
A071840,1
A057050,1
A028670,1
A120110,1
A004370,1
A002550,1
A006280,1
A204320,1
A115390,1
A181710,1
A003690,1
A000080,1
A004000,1
A111770,1
A001120,1
A192820,1
A001230,1
A082640,1
A000030,1
A005440,1
A006120,1
A053210,1
A128940,1
A008930,1
A003240,1
A009240,1
A011790,1
A214320,1
A002350,1
A020560,1
A000060,1
A039490,1
A001430,1
A073240,1
A037560,1
A108670,1
A097230,1
A180640,1
A161890,1
A007310,1
A000640,1
A085620,1
A122900,1
A017800,1
A003540,1
A093050,1
A003470,1
A170900,1
A081660,1
A069260,1
A138040,1
A071320,1
A068870,1
A079160,1
A138250,1
A089590,1
A103140,1
A002990,1
A900140,1
A011810,1
A214420,1
A005250,1
A001680,1
A009970,1
A003620,1
A006040,1
A175330,1
A031430,1
A003410,1
A082740,1
A185750,1
A005180,1
A000700,1
A039130,1
A034120,1
A025860,1
A105630,1
A011160,1
A000070,1
A001440,1
A002270,1
A069620,1
A003300,1
A018670,1
A019680,1
A008560,1
A029530,1
A001720,1
A210980,1
A011760,1
A020000,1
