date,code,bps,eps,dy,return,p_return,owner,p_owner
19990630,A005930,77166.95,18133.43,0.94,0,0,20925049,3041317
19990630,A015760,47448.05,2308.47,1.7,-3.8,-2.47,12099103,2016046
19990630,A005380,26442.36,1997.83,2.78,0,-1.5,7471163,1388234
19990630,A012330,7970.51,-196.37,0,-1.69,-2.14,1913112,409449
19990630,A090430,0,0,0,0,0,0,0
19990630,A035420,6618.29,92.16,0,0,0,0,0
19990630,A028260,0,0,0,0,0,0,0
19990630,A000660,20165.44,402.96,0,-3.76,3.49,2243827,22196413
19990630,A032830,0,0,0,0,0,0,0
19990630,A055550,0,0,0,0,0,0,0
19990630,A000270,6713.39,841.58,0,-3.27,10.66,606025,661997
19990630,A005490,99011.22,16110.92,1.4,-1.44,-1.59,7275483,2243049
19990630,A051910,0,0,0,0,0,0,0
19990630,A017670,447025.19,33850.86,0.05,1.97,-1.93,7754782,528846
19990630,A033780,15119.29,1705.04,4.98,0,0,0,0
19990630,A051900,0,0,0,0,0,0,0
19990630,A034730,0,0,0,0,0,0,0
19990630,A096770,0,0,0,0,0,0,0
19990630,A002790,37911.62,4103.18,3.75,-2.61,5.67,175393,121978
19990630,A105560,0,0,0,0,0,0,0
19990630,A000810,33558.68,2758.03,0.18,-5.23,-1.27,2921864,2976285
19990630,A018260,0,0,0,0,0,0,0
19990630,A003550,19692.1,3374.98,2.09,0.32,0,5270428,1082894
19990630,A010130,29165.84,2857.39,1.74,-0.28,2.17,278320,331970
19990630,A010950,32611.12,5066.05,8.36,0.67,0.53,1556234,73802
19990630,A035250,11582.52,141.58,0,0,0,0,0
19990630,A066570,0,0,0,0,0,0,0
19990630,A011170,25417.48,1151.48,1.89,-3.74,-2.81,508335,363084
19990630,A008930,16016.84,980.42,0.88,-2.38,1.59,187990,141729
19990630,A034220,0,0,0,0,0,0,0
19990630,A009540,65670.28,4086.98,2.33,0,2.59,1996196,751060
19990630,A021240,4468.64,249.69,3.28,11.88,0,166495,546
19990630,A030200,43671.25,1227.76,0.28,0,2.72,9120616,4057188
19990630,A006400,43088.35,3922.65,2.12,0.64,0.17,10436390,1575901
19990630,A086790,0,0,0,0,0,0,0
19990630,A128940,0,0,0,0,0,0,0
19990630,A000030,2768211.43,-2606835.43,0,-9.4,2.56,797777,280388
19990630,A086280,0,0,0,0,0,0,0
19990630,A047810,0,0,0,0,0,0,0
19990630,A161390,0,0,0,0,0,0,0
19990630,A023530,0,0,0,0,0,0,0
19990630,A024110,5080.79,489.9,0,-0.86,-0.47,136145,7866
19990630,A018880,17092.38,4774.28,1.03,0,3.51,96960,335236
19990630,A004020,14089.12,757.67,4.96,-3.29,1.88,597141,923966
19990630,A001040,48269.84,4278.96,1.15,14.88,-1.91,3204895,271703
19990630,A001800,37674.53,4201.08,1.14,0,5.49,223116,131277
19990630,A088350,0,0,0,0,0,0,0
19990630,A000120,20597.92,448.52,0,-1.92,0,239244,316936
19990630,A027410,0,0,0,0,0,0,0
19990630,A036570,1902.05,866.69,0,0,0,0,0
19990630,A005830,2638.69,1158.42,2.88,5.04,-1.19,588393,162152
19990630,A139480,0,0,0,0,0,0,0
19990630,A029780,8056.64,1265.7,0,0,0,0,0
19990630,A097950,0,0,0,0,0,0,0
19990630,A078930,0,0,0,0,0,0,0
19990630,A032640,3863.42,-848.05,0,0,0,0,0
19990630,A004800,93023.01,3493.67,1.89,-1.03,3.57,777915,158880
19990630,A002380,57450.16,12756.98,2.38,4.14,1.56,196932,84180
19990630,A009240,17904.98,2443.78,0,0,0,0,0
19990630,A007070,0,0,0,0,0,0,0
19990630,A009830,16152.44,1328.16,0,1.33,-0.99,1792973,819272
19990630,A009150,18125.92,-1819.09,0,4.85,0,27747003,908892
