date,code,dy
19990630,A005930,0.94
19990630,A015760,1.7
19990630,A005380,2.78
19990630,A012330,0
19990630,A090430,0
19990630,A035420,0
19990630,A028260,0
19990630,A000660,0
19990630,A032830,0
19990630,A055550,0
19990630,A000270,0
19990630,A005490,1.4
19990630,A051910,0
19990630,A017670,0.05
19990630,A033780,4.98
19990630,A051900,0
19990630,A034730,0
19990630,A096770,0
19990630,A002790,3.75
19990630,A105560,0
19990630,A000810,0.18
19990630,A018260,0
19990630,A003550,2.09
19990630,A010130,1.74
19990630,A010950,8.36
19990630,A035250,0
19990630,A066570,0
19990630,A011170,1.89
19990630,A008930,0.88
19990630,A034220,0
19990630,A009540,2.33
19990630,A021240,3.28
19990630,A030200,0.28
19990630,A006400,2.12
19990630,A086790,0
19990630,A128940,0
19990630,A000030,0
19990630,A086280,0
19990630,A047810,0
19990630,A161390,0
19990630,A023530,0
19990630,A024110,0
19990630,A018880,1.03
19990630,A004020,4.96
19990630,A001040,1.15
19990630,A001800,1.14
19990630,A088350,0
19990630,A000120,0
19990630,A027410,0
19990630,A036570,0
19990630,A005830,2.88
19990630,A139480,0
19990630,A029780,0
19990630,A097950,0
19990630,A078930,0
19990630,A032640,0
19990630,A004800,1.89
19990630,A002380,2.38
19990630,A009240,0
19990630,A007070,0
19990630,A009830,0
19990630,A009150,0
19990630,A012750,0.08
19990630,A036460,4.21
19990630,A000720,0
19990630,A000100,2.79
19990630,A051600,0
19990630,A012630,7.14
19990630,A069960,0
19990630,A007310,3.97
19990630,A000880,3.8
19990630,A000210,2.68
19990630,A047050,0
19990630,A138930,0
19990630,A001450,5
19990630,A004990,0.56
19990630,A016360,4.72
19990630,A037620,0
19990630,A005940,6.94
19990630,A006800,0
19990630,A008770,0
19990630,A012450,0
19990630,A003520,0
19990630,A011210,0
19990630,A047040,0
19990630,A071050,0
19990630,A006280,0
19990630,A079160,0
19990630,A004370,1.35
19990630,A079550,0
19990630,A005300,0.71
19990630,A010060,0
19990630,A034020,0
19990630,A000240,2.03
19990630,A010140,0
19990630,A204320,0
19990630,A001440,5.07
19990630,A000150,0
19990630,A002620,1.57
19990630,A161890,0
19990630,A028050,0
19990630,A004170,0.87
19990630,A006360,4.79
19990630,A028670,0
19990630,A011070,0
19990630,A003490,1.95
19990630,A030000,1.16
19990630,A006120,1.89
19990630,A011780,5.24
19990630,A005250,1.86
19990630,A120110,0
19990630,A006260,2.9
19990630,A005440,4.44
19990630,A000670,1.74
19990630,A111770,0
19990630,A003410,0
19990630,A000080,0
19990630,A002550,3.79
19990630,A000060,8.53
19990630,A138040,0
19990630,A192400,0
19990630,A114090,0
19990630,A014820,0.47
19990630,A214320,0
19990630,A008560,15.58
19990630,A057050,0
19990630,A001740,1.35
19990630,A139130,0
19990630,A039490,0
19990630,A005610,0
19990630,A003450,0.71
19990630,A003690,2.34
19990630,A073240,0
19990630,A017800,1.17
