date,rate
19990630,8.11
19990930,9.403333333
19991231,9.843333333
20000331,9.46
20000630,8.84
20000930,8.223333333
20001231,6.89
20010331,6.466666667
20010630,6.57
20010930,5.43
20011231,6.566666667
20020331,6.896666667
20020630,6.413333333
20020930,5.756666667
20021231,5.413333333
20030331,4.866666667
20030630,4.41
20030930,4.64
20031231,5.123333333
20040331,4.963333333
20040630,4.6
20040930,3.81
20041231,3.603333333
20050331,4.29
20050630,4.083333333
20050930,4.846666667
20051231,5.336666667
20060331,5.106666667
20060630,4.986666667
20060930,4.753333333
20061231,4.89
20070331,4.906666667
20070630,5.303333333
20070930,5.42
20071231,5.666666667
20080331,5.12
20080630,5.726666667
20080930,5.616666667
20081231,4.48
20090331,4.506666667
20090630,4.62
20090930,4.89
20091231,4.813333333
20100331,4.556666667
20100630,4.423333333
20100930,3.946666667
20101231,4.116666667
20110331,4.213333333
20110630,3.956666667
20110930,3.626666667
20111231,3.513333333
20120331,3.626666667
20120630,3.34
20120930,2.893333333
20121231,2.903333333
20130331,2.716666667
20130630,2.98
20130930,3.17
20131231,3.266666667
20140331,3.166666667
20140630,2.936666667
20140930,2.613333333
20141231,2.276666667
20150331,1.983333333
20150630,2.066666667
20150930,1.86
20151231,1.87
