code,price
A005930,568333.3333
A015760,31650
A005380,71366.66667
A090430,655000
A012330,88733.33333
A028260,0
A035420,167333.3333
A032830,0
A000660,22216.66667
A000270,12466.66667
A055550,48050
A051910,100166.6667
A005490,510666.6667
A033780,90733.33333
A017670,193833.3333
A034730,0
A051900,196166.6667
A018260,0
A096770,103533.3333
A000810,204833.3333
A105560,0
A002790,126000
A003550,65200
A011170,72900
A010950,67200
A034220,32300
A035250,21583.33333
A010130,139000
A066570,109500
A008930,132500
A030200,43633.33333
A021240,31833.33333
A009540,288666.6667
A023530,304500
A006400,83833.33333
A086790,39066.66667
A086280,64500
A000030,865
A004020,66333.33333
A001040,58166.66667
A024110,15666.66667
A161390,0
A047810,0
A018880,10076.66667
A001800,217166.6667
A128940,0
A088350,0
A027410,0
A097950,248500
A139480,0
A036570,50000
A005830,33533.33333
A032640,8770
A000120,99566.66667
A078930,35683.33333
A029780,42366.66667
A007070,0
A002380,406666.6667
A009240,8940
A004800,75333.33333
A009830,11766.66667
A012750,58800
A000720,65300
A009150,35716.66667
A036460,77533.33333
A004990,1255333.333
A051600,23900
A000100,217500
A012630,47700
A069960,87433.33333
A007310,156166.6667
A000880,39483.33333
A001450,20133.33333
A138930,0
A037620,97900
A000210,91133.33333
A003520,1303.333333
A016360,63533.33333
A006800,18050
A047050,38966.66667
A008770,24783.33333
A005940,19416.66667
A034020,96200
A010060,348666.6667
A005300,968666.6667
A047040,13850
A011210,0
A004370,221666.6667
A079160,16850
A012450,38616.66667
A071050,39733.33333
A004170,538666.6667
A001440,38766.66667
A000240,15083.33333
A006360,100966.6667
A010140,35916.66667
A003490,44700
A028050,76133.33333
A006280,94533.33333
A079550,0
A000150,162500
A011780,37600
A011070,30400
A111770,0
A161890,0
A002550,22116.66667
A005610,10810
A005440,71433.33333
A006120,37266.66667
A028670,2015
A204320,0
A000670,474333.3333
A030000,235333.3333
A000080,1845
A114090,0
A120110,0
A105630,0
A214320,0
A014820,2235
A006260,83733.33333
A000060,9726.666667
A057050,0
A192400,0
A008560,3596.666667
A138040,0
A005250,84300
A039490,35000
A003690,11276.66667
A003450,12166.66667
A226320,0
A002620,10600
A001740,17266.66667
A006650,37816.66667
A010120,47883.33333
A139130,0
A001120,23000
A064350,0
A192820,0
A017800,85333.33333
A003410,10046.66667
A002350,2715
A000070,44900
A010620,188666.6667
A002270,197333.3333
A010780,17500
A042670,27250
A042660,39500
A108670,0
A071840,0
A073240,8256.666667
A181710,0
A082640,0
A003000,21500
A068870,51866.66667
A170900,0
A023590,5521.666667
A052690,0
A049770,40650
A039130,30866.66667
A185750,0
A145990,0
A081660,0
A001680,9310
A180640,0
A003240,957666.6667
A069620,74933.33333
A011790,18266.66667
A020000,11483.33333
A006040,125000
A001060,16983.33333
A003620,3241.666667
A025540,19266.66667
A064960,32316.66667
A000640,108166.6667
A007570,44783.33333
A037560,0
A008000,8570
A001430,24383.33333
A101530,0
A004000,53300
A014680,9110
A020560,4910
A024720,3048.333333
A089590,0
A009420,2840
A034310,23016.66667
A000990,9800
A175330,0
A009970,7703.333333
A033920,5500
A103140,7950
A071320,0
A006840,26666.66667
A115390,0
A001230,43900
A069260,23716.66667
A001520,6153.333333
A019680,64066.66667
A005740,65566.66667
A002240,43233.33333
A096760,8600
A016450,3558.333333
A000370,13716.66667
A018670,74333.33333
A072710,69633.33333
A012510,1300
A053210,0
A000230,33833.33333
A017810,41683.33333
A003300,82200
A005180,36000
A007340,8950
A093050,28683.33333
A085620,0
A003090,29200
A002020,32866.66667
A003470,11186.66667
A009450,27683.33333
A020150,0
A002960,96466.66667
A210980,0
A060980,0
A138250,0
A044820,2568.333333
A019170,20150
A004490,20400
A093370,4065
A003540,20083.33333
A009290,3645
A008490,6056.666667
A031440,55300
A078520,3475
A003060,425
A029460,5001.666667
A007210,15733.33333
A003920,683666.6667
A005850,5820
A036580,1550
A034120,48833.33333
A031430,0
A084690,4455
A058650,117500
A025860,25233.33333
A003850,35383.33333
A001720,42300
A021960,10683.33333
A117930,0
A009410,6175
A004710,23183.33333
A122900,0
A004430,4060
A029530,66333.33333
A002390,18033.33333
A079430,12700
A192530,0
A101060,34333.33333
A000050,136000
A004690,178166.6667
A017390,89500
A900140,0
A003030,70000
A014830,37366.66667
A037710,124500
A017940,103666.6667
A005090,27866.66667
A006060,7363.333333
A005500,12350
A214420,0
A015860,5986.666667
A005720,30900
A126560,0
A095720,23650
A016800,24400
A102460,0
A001780,1735
A001630,18750
A104700,0
A152330,0
A005880,179666.6667
A032350,35183.33333
A002320,38800
A213500,0
A002630,793.3333333
A042700,5236.666667
A000400,10316.66667
A102280,4390
A033660,0
A200880,0
A011200,40366.66667
A214390,0
A003220,4283.333333
A015350,21483.33333
A138490,0
A002810,3951.666667
A002990,20516.66667
A008060,3653.333333
A004150,14033.33333
A002250,14933.33333
A003200,69933.33333
A005690,11866.66667
A036530,18150
A097230,39933.33333
A007690,25833.33333
A030610,13783.33333
A000480,90400
A003560,2045
A027390,12833.33333
A004440,0
A004360,13650
A095570,0
A011760,23966.66667
A001510,2155
A033270,3648.333333
A112610,0
A000140,66033.33333
A003570,12116.66667
A007160,25283.33333
A005810,19450
A089470,2130
A016580,14600
A008730,6283.333333
A001130,193666.6667
A009680,7676.666667
A000430,1805
A003120,106500
A000020,49216.66667
A183190,0
A002780,1521.666667
A102260,10670
A001500,22233.33333
A011160,8223.333333
A002450,798.3333333
A000320,7000
A107590,0
A000180,19383.33333
A012320,51066.66667
A000390,3203.333333
A002000,27383.33333
A017960,5473.333333
A004970,17300
A001460,230166.6667
A039570,0
A004250,10366.66667
A004700,6756.666667
A003530,7936.666667
A194370,0
A010050,5535
A000970,5480
A005950,14400
A000680,8076.666667
A006390,23166.66667
A007860,2311.666667
A004980,7343.333333
A003070,10326.66667
A009580,9050
A092230,60033.33333
A079980,0
A025000,57000
A011000,2261.666667
A005680,9636.666667
A161000,0
A001940,67300
A000860,16133.33333
A004130,6890
A001250,17206.66667
A084010,81600
A005110,558.3333333
A082740,0
A000540,7826.666667
A004840,2453.333333
A001200,1135
A002030,59700
A136490,0
A013520,8923.333333
A001880,10740
A067830,1991.666667
A004060,2200
A015360,31916.66667
A033240,6048.333333
A004380,2400
A000700,35266.66667
A069640,0
A010690,2831.666667
A084680,555
A090350,3665
A012160,0
A004960,19900
A085310,21750
A011280,928.3333333
A007540,24950
A014280,12450
A001790,61766.66667
A011090,890
A005390,2908.333333
A010820,1808.333333
A007810,3745
A068400,0
A084870,5233.333333
A007660,1491.666667
A001360,3108.333333
A227840,0
A004540,4365
A900050,0
A021820,48216.66667
A000040,650
A091090,7393.333333
A007700,4161.666667
A092200,5036.666667
A002880,595
A001270,23033.33333
A034300,23633.33333
A044450,6163.333333
A007980,12100
A130660,0
A025560,426.6666667
A004200,10873.33333
A005750,2300
A100250,1328.333333
A012610,23666.66667
A002840,45800
A003460,17466.66667
A026890,1408.333333
A003230,28200
A012200,2255
A037270,2706.666667
