date,rm,rf,interest(m),SMB,HML,mom
199505,-1.62,2.129120879,-0.709219858,0.592,1.288,-8.45
199506,1.35,-0.941492939,1.971830986,-1.064,-2.222,-1
199507,4.38,-3.326544467,2.873563218,-1.684,3.456,-6.798
199508,-2.09,-5.547752809,6.065088757,5.094,5.62,-4.464
199509,7.50,-2.602230483,4.803149606,5.094,-3.29,-1.23
199510,0.77,-5.954198473,4.466501241,3.19,-2.684,-2.836
199511,-5.99,-3.003246753,1.645021645,-3.086,2.236,2.058
199512,-6.98,-1.841004184,3.60915493,7.52,-4.27,3.586
199601,-0.47,-0.682011935,-2.557077626,-11.81,-4.444,-2.55
199602,-2.96,0.17167382,-1.513802315,6.128,4.136,6.042
199603,2.50,-1.028277635,0,0.306,-0.152,1.938
199604,12.21,-9.437229437,4.122807018,-6.434,-0.456,-4.78
199605,-7.93,3.919694073,0.182982617,-5.866,0.808,3.646
199606,-8.59,12.05151794,-4.399633364,-7.568,0.89,2.208
199607,0.52,5.418719212,-2.458296752,-12.328,-3.694,7.074
199608,-4.89,15.18691589,-3.513281919,-12.562,-0.198,0.134
199609,1.05,-3.313049358,-0.248344371,-17.196,-6.898,11.67
199610,-4.06,-1.328671329,1.486374897,-5.372,1.246,-9.304
199611,-4.11,-3.189227498,0,-10.638,-0.202,1.794
199612,-9.88,-0.951683748,-1.592623638,6.056,0.258,0.38
199701,5.32,-6.430155211,-0.082508251,-9.536,-5.154,7.83
199702,-1.36,-3.001579779,1.236603462,-12.282,-4.872,3.424
199703,0.12,7.736156352,-1.168614357,-6.894,-0.484,1.836
199704,3.82,-0.907029478,-0.660066007,-6.192,2.138,-0.12
199705,7.61,-2.745995423,0,12.906,4.046,-17.176
199706,-1.50,-7.529411765,4.262295082,-5.062,-6.992,3.436
199707,-2.59,1.017811705,-0.171232877,-3.638,-1.504,4.53
199708,-4.34,6.213266163,0,-5.21,-0.63,1.23
199709,-6.94,5.849802372,0,-6.842,1.384,1.37
199710,-27.25,2.987303958,0,-5.568,4.056,-4.902
199711,-19.50,4.9311095,-4.52991453,2.668,-15.994,22.108
199712,-13.11,28.19626814,-20.19623876,25.762,-1.35,9.824
199801,50.77,24.52830189,-13.26530612,37.854,11.894,-13.076
199802,-1.48,-2.770562771,0.3003003,2.808,-4.866,6.76
199803,-13.94,0.667853963,0.120481928,-13.834,-1.534,-12.568
199804,-12.44,-10.39363114,3.015681544,1.232,-7.132,11.554
199805,-21.17,-9.772951629,0.124378109,-6.902,1.242,6.172
199806,-10.29,-7.38512035,9.153175592,-2.324,-2.966,19.584
199807,15.26,-17.60189014,16.10692255,4.61,25.87,-25.3
199808,-9.66,-19.78494624,5.310457516,-27.946,-0.03,-1.2
199809,0.05,-7.238605898,-2.415875755,6.89,-2.896,1.798
199810,30.01,-22.15799615,18.28138163,26.24,8.876,-27.412
199811,12.01,-4.702970297,10.30927835,-19.432,42.428,-51.824
199812,23.44,0,13.79310345,2.848,23.252,1.322
199901,1.59,-9.090909091,0.133333333,-30.332,-9.068,-3.658
199902,-2.10,-4.285714286,-12.14953271,1.682,-3.064,-3.678
199903,19.02,-2.089552239,3.571428571,10.618,13.836,5.286
199904,21.59,-6.097560976,12.4691358,-1.636,-0.704,4.076
199905,-2.20,0.162337662,-12.41184767,-23.406,-43.214,-22.648
199906,19.97,1.782820097,0.627352572,-9.576,-28.066,-18.27
199907,9.82,7.484076433,-6.565656566,1.792,-11.208,3.706
199908,-3.28,6.518518519,-10.18957346,5.57,2.054,0.36
199909,-10.84,4.867872045,-5.483870968,-3.17,-5.19,-6.678
199910,-4.07,-3.315649867,7.237512742,-13.162,-9.654,17.738
199911,19.57,-5.212620027,-5.164835165,8.048,-29.054,20.282
199912,8.31,3.617945007,-3.866248694,13.552,-16.064,6.062
200001,-8.19,1.675977654,-0.804828974,-1.764,13.128,-9.468
200002,-12.24,-2.06043956,4.790419162,-66.282,-28.732,47.158
200003,3.93,-1.823281907,0,-40.508,13.02,29.19
200004,-18.61,0.857142857,2.51572327,-1.712,5.674,0.804
200005,0.89,1.133144476,0.107526882,3.004,-4.338,-1.326
200006,12.21,0.420168067,3.6598493,12.212,0.648,-1.792
200007,-14.03,-0.278940028,7.48603352,-17.91,10.23,-0.806
200008,-2.46,-1.538461538,1.328502415,-14.36,4.816,-7.384
200009,-16.18,0.142045455,-1.713586291,-6.766,9.554,-16.986
200010,-16.10,-0.141843972,1.444043321,-6.4,3.642,5.612
200011,-1.02,-0.710227273,7.692307692,-9.266,-3.526,6.76
200012,-4.94,-1.430615165,8.465608466,13.88,19.058,0.882
200101,22.45,-6.676342525,10.40462428,-6.056,-32.874,-32.294
200102,-6.44,-10.88646967,7.096774194,-16.876,6.862,3.484
200103,-9.49,-0.872600349,-11.11111111,-7.702,4.42,6.564
200104,10.35,2.816901408,-13.125,10.354,-10.78,-6.392
200105,6.03,0.171232877,2.624309392,1.052,9.71,-0.388
200106,-5.84,-3.418803419,7.943262411,-1.21,10.244,10.112
200107,-9.00,-5.840707965,4.930662558,1.358,-0.634,6.77
200108,0.66,-7.518796992,11.99351702,4.372,13.024,9.12
200109,-16.80,-5.284552846,4.051565378,1.838,12.292,6.542
200110,12.12,-6.43776824,-8.445297505,-8.09,-15.082,-3.948
200111,19.72,3.899082569,-9.734513274,17.958,11.888,-2.15
200112,9.76,6.843267108,-7.419354839,9.118,4.836,4
200201,7.84,-1.033057851,-2.852852853,-1.62,12.882,-0.26
200202,9.61,-5.219206681,2.773722628,7.572,5.644,6.892
200203,9.22,2.202643172,-4.654654655,3.528,-2.106,2.224
200204,-5.94,3.232758621,-1.291248207,3.044,3.824,4.594
200205,-5.45,0.417536534,3.682719547,-5.758,0.76,-4.304
200206,-12.50,0.831600832,6.911764706,3.376,5.184,8.914
200207,-3.33,1.237113402,3.475513428,-3.102,2.51,-0.02
200208,1.70,-2.240325866,5.237315876,-3.168,1.248,1.99
200209,-12.22,0.208333333,0.345423143,3.852,12.338,3.688
200210,1.93,2.079002079,1.039861352,-0.708,-6.074,5.608
200211,7.67,0,3.327495622,9.194,0.068,4.546
200212,-13.42,-0.203665988,-0.905797101,-0.646,4.784,-0.898
200301,-5.69,-4.081632653,7.540394973,-2.044,-0.948,-0.67
200302,-2.78,-3.404255319,5.048543689,0.4,3.404,3.506
200303,-6.90,4.845814978,-1.022494888,7.764,1.552,7.612
200304,11.88,-2.941176471,3.441295547,0.282,-1.23,-8.882
200305,5.68,-4.978354978,7.547169811,-2,-1.696,-4.464
200306,5.76,-2.505694761,4.988662132,1.04,-3.848,-4.35
200307,6.51,-3.037383178,-10.50119332,6.862,0.946,1.05
200308,5.14,-6.024096386,-6.479481641,11.398,9.57,8.638
200309,-8.16,-1.794871795,9.53346856,-3.118,6.23,1.72
200310,12.16,2.610966057,-1.569506726,14.924,2.988,7.79
200311,2.69,7.633587786,-12.14128035,6.338,6.784,4.26
200312,1.82,2.600472813,-0.984251969,3.652,5.61,3.9
200401,4.66,-1.843317972,-0.584795322,4.97,1.402,-0.036
200402,2.36,-4.225352113,0.581395349,5.284,4.14,3.008
200403,-0.33,-3.676470588,4.873294347,-0.686,2.168,4.964
200404,-2.01,-0.508905852,0,-9.36,-1.362,2.432
200405,-6.84,-0.255754476,2.663934426,-0.45,2.74,0.052
200406,-2.25,0.256410256,3.578947368,3.578,5.898,1.886
200407,-6.42,0,2.401746725,-1.802,14.556,-0.07
200408,9.28,-5.37084399,10.29082774,5.114,-0.792,-2.358
200409,3.92,-4.864864865,6.483790524,6.294,7.02,2.436
200410,0.33,0,2.133333333,2.296,5.596,8.12
200411,5.18,-2.840909091,3.814713896,0.704,7.916,1.092
200412,2.03,-0.877192982,3.966005666,-3.202,-2.384,-1.338
200501,4.11,2.359882006,-14.74926254,-25.384,-16.192,-8.378
200502,8.43,3.458213256,-14.91002571,-2.716,15.262,12.16
200503,-4.52,-1.114206128,4.026845638,3.106,4.218,-3.702
200504,-4.97,-0.845070423,4.195804196,-1.414,4.09,1.28
200505,6.46,-0.284090909,5.352798054,-6.302,-10.268,-0.012
200506,3.91,0,-2.05655527,-6.256,4.706,11.02
200507,11.23,0,-10.57934509,-9.476,4.112,2.432
200508,-2.52,-0.284900285,-6.378132118,2.636,5.584,-1.636
200509,12.71,5.714285714,-2.997858672,-0.282,8.312,7.562
200510,-5.15,6.216216216,-5.197505198,-19.376,0.706,1.776
200511,12.03,0.763358779,-6.52173913,-8.6,-3.388,5.19
200512,7.82,2.02020202,1.113172542,7.848,4.52,-3.776
200601,1.48,2.722772277,0.750469043,1.75,-1.542,2.274
200602,-2.02,2.409638554,4.914933837,-1.718,-0.866,-1.978
200603,-0.87,0.470588235,-1.988071571,1.076,3.812,1.028
200604,6.64,1.405152225,-0.584795322,0.92,7.186,3.89
200605,-7.19,0.692840647,4.457364341,0.298,-1.586,-1.704
200606,-1.71,2.52293578,-2.028397566,2.776,0.78,0.152
200607,0.21,3.579418345,0.596421471,6.428,3.422,2.638
200608,4.23,1.079913607,3.4,3.97,3.544,-5.686
200609,1.99,-0.854700855,1.449275362,-6.08,-0.132,-2.43
200610,-0.50,-1.50862069,1.890756303,1.456,5.132,6.03
200611,4.96,0.656455142,-2.569593148,-3.59,7.294,0.71
200612,1.63,3.47826087,-1.878914405,3.572,3.686,3.666
200701,-5.17,3.361344538,-2.459016393,-3.856,1.282,2.228
200702,4.20,0.609756098,1.2,1.022,3.256,2.662
200703,2.48,-0.202020202,2.429149798,-4.088,1.81,1.228
200704,6.17,0.20242915,-2.904564315,2.684,7.398,6.088
200705,10.29,1.818181818,-3.427419355,-0.118,13.48,8.806
200706,4.92,-0.198412698,-4.288499025,2.454,0.848,-3.712
200707,10.88,0.397614314,-1.495327103,6.022,12.468,7.566
200708,-3.11,3.168316832,1.841620626,-3.802,3.012,4.884
200709,6.41,2.495201536,-2.063789869,2.652,2.62,8.136
200710,6.08,0,-0.919117647,13.938,0.546,5.094
200711,-7.69,1.685393258,-1.821493625,0.038,-0.614,-5.154
200712,3.40,5.524861878,-5.545617174,4.742,0.46,-2.768
200801,-14.36,1.396160558,6.610169492,-6.856,3.934,-4.672
200802,5.35,-9.122203098,6.715063521,-0.964,3.512,11.83
200803,-0.45,-0.568181818,-1.167315175,3.226,-1.352,-0.964
200804,7.13,2.476190476,3.461538462,7.538,3.572,-3.746
200805,1.45,-0.371747212,-6.772908367,-0.618,3.214,5.458
200806,-9.56,0,-8.208955224,-5.5,1.73,-0.618
200807,-4.79,2.985074627,-3.793103448,0.854,2.132,-0.706
200808,-5.93,4.528985507,3.156146179,5.324,8.664,2.37
200809,-1.78,0.346620451,-0.51457976,6.848,-2.29,2.99
200810,-23.13,4.14507772,11.94539249,7.714,4.91,6.672
200811,7.70,-6.79933665,-0.19379845,-2.106,-4.304,-7.114
200812,4.50,-16.72597865,16.827853,0.31,0.628,-9.962
200901,3.35,-31.1965812,7.674418605,-3.268,-4.202,-4.772
200902,-2.78,-16.14906832,-15.86901763,-9.056,-0.874,-1.33
200903,13.47,-9.259259259,2.391304348,0.288,-0.924,-3.858
200904,13.52,-1.224489796,1.336302895,-14.288,-3.006,-8.316
200905,4.29,-0.41322314,-2.257336343,-3.632,3.522,-0.696
